"timestamp","total_users","active_users","inactive_users"
"1618095602",1417,283,1134
"1618182001",1417,280,1137
"1618268403",1421,280,1141
"1618354803",1430,273,1157
"1618441203",1432,261,1171
"1618527602",1438,261,1177
"1618614003",1446,258,1188
"1618700402",1447,254,1193
"1618786803",1447,252,1195
"1618873202",1453,256,1197
"1618959601",1453,253,1200
"1619046003",1455,251,1204
"1619132403",1457,250,1207
"1619218804",1457,245,1212
"1619305203",1457,242,1215
"1619391603",1458,243,1215
"1619478003",1461,244,1217
"1619564404",1466,249,1217
"1619650803",1470,252,1218
"1619737203",1481,261,1220
"1619823604",1483,263,1220
"1619910004",1485,265,1220
"1619996403",1486,265,1221
"1620082803",1487,266,1221
"1620169204",1490,261,1229
"1620255602",1494,259,1235
"1620342003",1497,258,1239
"1620428403",1500,256,1244
"1620514803",1502,253,1249
"1620601202",1504,254,1250
"1620687602",1507,256,1251
"1620774004",1511,255,1256
"1620860403",1514,255,1259
"1620946802",1516,256,1260
"1621033203",1527,263,1264
"1621119604",1529,266,1263
"1621206003",1529,265,1264
"1621292403",1532,267,1265
"1621378802",1535,268,1267
"1621465202",1539,259,1280
"1621551603",1542,253,1289
"1621638003",1545,244,1301
"1621724404",1545,239,1306
"1621810803",1548,242,1306
"1621897202",1552,241,1311
"1621983603",1560,247,1313
"1622070003",1562,247,1315
"1622156403",1564,243,1321
"1622242803",1566,241,1325
"1622329203",1566,237,1329
"1622415603",1566,235,1331
"1622502003",1567,236,1331
"1622588402",1571,240,1331
"1622674802",1578,236,1342
"1622761203",1583,233,1350
"1622847604",1592,234,1358
"1622934003",1593,231,1362
"1623020402",1595,233,1362
"1623106802",1601,238,1363
"1623193202",1606,237,1369
"1623279603",1607,233,1374
"1623366003",1616,240,1376
"1623452404",1622,244,1378
"1623538803",1622,239,1383
"1623625202",1623,240,1383
"1623711603",1627,243,1384
"1623798003",1629,239,1390
"1623884403",1634,238,1396
"1623970802",1638,240,1398
"1624057203",1641,240,1401
"1624143604",1643,240,1403
"1624230004",1643,239,1404
"1624316403",1645,239,1406
"1624402802",1650,244,1406
"1624489203",1654,247,1407
"1624575602",1661,246,1415
"1624662003",1661,246,1415
"1624748403",1661,246,1415
"1624834803",1662,239,1423
"1624921204",1666,241,1425
"1625007602",1669,237,1432
"1625094003",1674,233,1441
"1625180403",1683,240,1443
"1625266803",1686,238,1448
"1625353204",1687,235,1452
"1625439603",1687,234,1453
"1625526004",1689,235,1454
"1625612402",1692,238,1454
"1625698804",1698,240,1458
"1625785203",1705,245,1460
"1625871602",1712,246,1466
"1625958004",1713,247,1466
"1626044403",1714,248,1466
"1626130803",1718,252,1466
"1626217202",1721,252,1469
"1626303603",1727,256,1471
"1626390002",1731,257,1474
"1626476404",1736,250,1486
"1626562804",1737,246,1491
"1626649203",1738,246,1492
"1626735602",1738,244,1494
"1626822004",1741,240,1501
"1626908403",1746,239,1507
"1626994804",1748,234,1514
"1627081204",1752,231,1521
"1627167603",1753,228,1525
"1627254003",1754,227,1527
"1627340402",1760,232,1528
"1627426803",1764,233,1531
